test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
saxpy,64xf32,baseline,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
saxpy,64xf32,snrt,140,904,900,2.953846153846154,6.0,0,65,192,0.4642857142857143,0.9154929577464789,71,12,2,0.5071428571428571,0,2,2.9583333333333335,2.9583333333333335,1,0.0,24,0.5454545454545454,20,0,0,0.14285714285714285,0,765,0.0,0.6499999999999999,0.0
saxpy,64xf32,linalg,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
ddot,128xf64,baseline,956,1745,1742,2.9767441860465116,1.0,128,129,384,0.13493723849372385,0.3333333333333333,387,257,257,0.40481171548117156,0,1,1.0,1.0,1,0.0,387,0.4262114537444934,521,0,0,0.5449790794979079,0,790,0.0,0.9497907949790795,0.0
ddot,128xf64,snrt,577,1363,1360,2.9767441860465116,1.0,128,129,384,0.22357019064124783,0.9699248120300752,133,1,1,0.23050259965337955,0,1,19.0,19.0,1,0.0,7,0.35,13,0,0,0.022530329289428077,0,787,0.0,0.2530329289428076,0.0
ddot,128xf64,snitch_stream,206,975,972,2.9191176470588234,0.0,128,136,397,0.6601941747572816,0.9784172661870504,139,0,0,0.6747572815533981,0,1,8.6875,8.6875,1,0.0,16,0.48484848484848486,17,0,0,0.0825242718446602,0,770,0.0,0.7572815533980582,0.0
ddot,128xf64,linalg,965,1751,1748,2.9615384615384617,1.0,128,130,385,0.13471502590673576,0.3359173126614987,387,256,256,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
ddot,128xf64,riscv_scf,1211,2018,2015,2.9883268482490273,1.490272373540856,0,257,768,0.21222130470685385,0.49902912621359224,515,383,257,0.42526837324525185,0,1,1.0,1.0,1,0.0,515,0.4956689124157844,524,0,0,0.43270024772914945,0,808,0.0,0.8579686209744013,0.0
ddot,128xf64,scf,965,1751,1748,2.9767441860465116,1.0,128,129,384,0.13367875647668392,0.3333333333333333,387,257,257,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
dense,8x8xf64,baseline,3206,4011,4008,2.792834890965732,1.1077844311377245,448,642,1793,0.20024953212726138,0.41259640102827766,1556,740,668,0.48533998752339363,0,246,1.0,1.0,1,0.0,1556,0.9511002444987775,80,0,0,0.024953212726138492,0,806,0.0,0.5102932002495322,0.0
dense,8x8xf64,snrt,2723,3538,3535,2.630311614730878,0.0,512,706,1857,0.2592728608152773,0.9145077720207254,772,0,0,0.28351083363936835,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.7713717693836978,115,0,0,0.04223283143591627,0,816,0.0,0.3257436650752846,0.0
dense,8x8xf64,snitch_stream,2731,3518,3515,2.630311614730878,0.0,512,706,1857,0.25851336506774075,0.9145077720207254,772,0,0,0.2826803368729403,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.5631349782293179,301,0,0,0.11021603808128891,0,788,0.0,0.39289637495422924,0.0
dense,8x8xf64,linalg,3530,4331,4328,2.792834890965732,1.1513513513513514,512,642,1793,0.18186968838526912,0.39410681399631675,1629,852,740,0.4614730878186969,0,247,1.0,1.0,1,3.1666666666666665,1629,0.8422957600827301,305,19,6,0.08640226628895184,134,802,0.0,0.5478753541076488,0.0
dense,8x8xf64,fused,2952,3756,3753,2.773497688751926,1.0737410071942446,448,649,1800,0.21985094850948508,0.489811320754717,1325,597,556,0.4488482384823848,0,120,1.0,1.0,1,0.0,1325,0.9601449275362319,55,0,0,0.018631436314363144,0,805,0.0,0.46747967479674796,0.0
matmul,4x4x4xf64,baseline,371,1133,1130,2.953846153846154,1.0,48,65,192,0.1752021563342318,0.5038759689922481,129,48,48,0.3477088948787062,0,16,1.0,1.0,1,0.0,129,0.9416058394160584,8,0,0,0.0215633423180593,0,763,0.0,0.3692722371967655,0.0
matmul,4x4x4xf64,snitch_stream,237,1015,1012,2.4183673469387754,0.0,64,98,237,0.41350210970464135,0.98,100,0,0,0.4219409282700422,0,0,1.7857142857142858,1.7857142857142858,1,0.0,56,0.47863247863247865,61,0,0,0.25738396624472576,0,779,0.0,0.679324894514768,0.0
dsum,4x4xf64,baseline,129,898,895,2.823529411764706,1.65625,0,17,48,0.13178294573643412,0.26153846153846155,65,53,32,0.5038759689922481,0,16,1.0,1.0,1,0.0,65,0.8904109589041096,8,0,0,0.06201550387596899,0,770,0.0,0.5658914728682171,0.0
dsum,4x4xf64,linalg_xdsl,73,839,835,2.823529411764706,0.0,0,17,48,0.2328767123287671,0.8947368421052632,19,0,0,0.2602739726027397,0,0,3.8,3.8,1,0.0,5,0.2,20,0,0,0.273972602739726,0,767,0.0,0.5342465753424657,0.0
fill,4x4xf64,baseline,50,760,757,0.0,0.0,0,1,0,0.02,0.058823529411764705,17,0,0,0.34,0,16,1.0,1.0,1,0.0,17,0.7391304347826086,6,0,0,0.12,0,711,0.0,0.46,0.0
fill,4x4xf64,linalg_xdsl,59,761,758,0.9444444444444444,0.0,0,18,17,0.3050847457627119,0.9,20,0,0,0.3389830508474576,0,0,3.333333333333333,3.3333333333333335,1,0.0,6,0.3,14,0,0,0.23728813559322035,0,703,0.0,0.576271186440678,0.0
relu,4x4xf64,baseline,142,892,889,0.9444444444444444,1.0,0,18,17,0.1267605633802817,0.36,50,16,16,0.352112676056338,0,16,1.0,1.0,1,0.0,50,0.8771929824561403,7,0,0,0.04929577464788732,0,751,0.0,0.4014084507042253,0.0
relu,4x4xf64,linalg_xdsl,81,832,829,0.9444444444444444,0.0,0,18,17,0.2222222222222222,0.9,20,0,0,0.24691358024691357,0,0,3.333333333333333,3.3333333333333335,1,0.0,6,0.2608695652173913,17,0,0,0.20987654320987653,0,752,0.0,0.4567901234567901,0.0
pooling_nchw_sum_d1_s2_3x3,4x4xf64,baseline,582,1341,1338,2.9767441860465116,1.1018518518518519,0,129,384,0.22164948453608246,0.5098814229249012,253,119,108,0.43470790378006874,0,16,1.0,1.0,1,0.0,253,0.9730769230769231,7,0,0,0.012027491408934709,0,760,0.0,0.44673539518900346,0.0
