test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
saxpy,64xf32,baseline,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
saxpy,64xf32,snrt,140,904,900,2.953846153846154,6.0,0,65,192,0.4642857142857143,0.9154929577464789,71,12,2,0.5071428571428571,0,2,2.9583333333333335,2.9583333333333335,1,0.0,24,0.5454545454545454,20,0,0,0.14285714285714285,0,765,0.0,0.6499999999999999,0.0
saxpy,64xf32,linalg,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
ddot,128xf64,baseline,956,1745,1742,2.9767441860465116,1.0,128,129,384,0.13493723849372385,0.3333333333333333,387,257,257,0.40481171548117156,0,1,1.0,1.0,1,0.0,387,0.4262114537444934,521,0,0,0.5449790794979079,0,790,0.0,0.9497907949790795,0.0
ddot,128xf64,snrt,577,1363,1360,2.9767441860465116,1.0,128,129,384,0.22357019064124783,0.9699248120300752,133,1,1,0.23050259965337955,0,1,19.0,19.0,1,0.0,7,0.35,13,0,0,0.022530329289428077,0,787,0.0,0.2530329289428076,0.0
ddot,128xf64,snitch_stream,213,991,988,2.9191176470588234,0.0,128,136,397,0.6384976525821596,0.9784172661870504,139,0,0,0.6525821596244131,0,1,8.6875,8.6875,1,0.0,16,0.47058823529411764,18,0,0,0.08450704225352113,0,779,0.0,0.7370892018779343,0.0
ddot,128xf64,linalg,965,1751,1748,2.9615384615384617,1.0,128,130,385,0.13471502590673576,0.3359173126614987,387,256,256,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
ddot,128xf64,riscv_scf,1211,2018,2015,2.9883268482490273,1.490272373540856,0,257,768,0.21222130470685385,0.49902912621359224,515,383,257,0.42526837324525185,0,1,1.0,1.0,1,0.0,515,0.4956689124157844,524,0,0,0.43270024772914945,0,808,0.0,0.8579686209744013,0.0
ddot,128xf64,scf,965,1751,1748,2.9767441860465116,1.0,128,129,384,0.13367875647668392,0.3333333333333333,387,257,257,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
dense,8x8xf64,baseline,3206,4011,4008,2.792834890965732,1.1077844311377245,448,642,1793,0.20024953212726138,0.41259640102827766,1556,740,668,0.48533998752339363,0,246,1.0,1.0,1,0.0,1556,0.9511002444987775,80,0,0,0.024953212726138492,0,806,0.0,0.5102932002495322,0.0
dense,8x8xf64,snrt,2723,3538,3535,2.630311614730878,0.0,512,706,1857,0.2592728608152773,0.9145077720207254,772,0,0,0.28351083363936835,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.7713717693836978,115,0,0,0.04223283143591627,0,816,0.0,0.3257436650752846,0.0
dense,8x8xf64,snitch_stream,2741,3544,3541,2.630311614730878,0.0,512,706,1857,0.25757022984312294,0.9145077720207254,772,0,0,0.2816490331995622,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.5606936416184971,304,0,0,0.11090842758117475,0,804,0.0,0.39255746078073694,0.0
dense,8x8xf64,linalg,3530,4331,4328,2.792834890965732,1.1513513513513514,512,642,1793,0.18186968838526912,0.39410681399631675,1629,852,740,0.4614730878186969,0,247,1.0,1.0,1,3.1666666666666665,1629,0.8422957600827301,305,19,6,0.08640226628895184,134,802,0.0,0.5478753541076488,0.0
dense,8x8xf64,fused,2952,3756,3753,2.773497688751926,1.0737410071942446,448,649,1800,0.21985094850948508,0.489811320754717,1325,597,556,0.4488482384823848,0,120,1.0,1.0,1,0.0,1325,0.9601449275362319,55,0,0,0.018631436314363144,0,805,0.0,0.46747967479674796,0.0
matmul,4x4x4xf64,baseline,371,1133,1130,2.953846153846154,1.0,48,65,192,0.1752021563342318,0.5038759689922481,129,48,48,0.3477088948787062,0,16,1.0,1.0,1,0.0,129,0.9416058394160584,8,0,0,0.0215633423180593,0,763,0.0,0.3692722371967655,0.0
matmul,4x4x4xf64,linalg_xdsl,217,995,992,2.4183673469387754,0.0,64,98,237,0.45161290322580644,0.98,100,0,0,0.4608294930875576,0,0,1.7857142857142858,1.7857142857142858,1,0.0,56,0.5137614678899083,53,0,0,0.24423963133640553,0,779,0.0,0.7050691244239631,0.0
matmul,4x4x8xf64,baseline,463,1247,1244,2.976923076923077,1.7195121951219512,96,130,387,0.28077753779697623,0.4961832061068702,262,141,82,0.5658747300215983,0,50,1.0,1.0,1,0.0,262,0.966789667896679,9,0,0,0.019438444924406047,0,785,0.0,0.5853131749460043,0.0
matmul,4x4x8xf64,linalg_xdsl,324,1100,1097,2.4381443298969074,0.0,128,194,473,0.5987654320987654,0.9897959183673469,196,0,0,0.6049382716049383,0,0,1.8148148148148149,1.8148148148148149,1,0.0,108,0.5869565217391305,76,0,0,0.2345679012345679,0,777,0.0,0.8395061728395061,0.0
matmul,4x4x12xf64,baseline,1049,1828,1825,2.9844559585492227,1.0192307692307692,144,193,576,0.18398474737845566,0.4298440979955457,449,212,208,0.42802669208770255,0,48,1.0,1.0,1,0.0,449,0.9846491228070176,7,0,0,0.00667302192564347,0,780,0.0,0.434699714013346,0.0
matmul,4x4x12xf64,linalg_xdsl,428,1207,1204,2.4448275862068964,0.0,192,290,709,0.677570093457944,0.9931506849315068,292,0,0,0.6822429906542056,0,0,1.825,1.825,1,0.0,160,0.6451612903225806,88,0,0,0.205607476635514,0,780,0.0,0.8878504672897196,0.0
matmul,4x4x16xf64,baseline,1413,2194,2191,2.9883268482490273,1.0,192,257,768,0.1818825194621373,0.433389544688027,593,272,272,0.4196744515215853,0,64,1.0,1.0,1,0.0,593,0.6831797235023042,275,0,0,0.194621372965322,0,782,0.0,0.6142958244869072,0.0
matmul,4x4x16xf64,linalg_xdsl,532,1313,1310,2.448186528497409,0.0,256,386,945,0.7255639097744361,0.9948453608247423,388,0,0,0.7293233082706767,0,0,1.8301886792452828,1.830188679245283,1,0.0,212,0.6794871794871795,100,0,0,0.18796992481203006,0,782,0.0,0.9172932330827068,0.0
matmul,4x4x20xf64,baseline,1749,2537,2534,2.9906542056074765,1.0,240,321,960,0.1835334476843911,0.4355495251017639,737,336,336,0.42138364779874216,0,80,1.0,1.0,1,0.0,737,0.6849442379182156,339,0,0,0.19382504288164665,0,789,0.0,0.6152086906803889,0.0
