test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
saxpy,64xf32,baseline,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
saxpy,64xf32,snrt,140,904,900,2.953846153846154,6.0,0,65,192,0.4642857142857143,0.9154929577464789,71,12,2,0.5071428571428571,0,2,2.9583333333333335,2.9583333333333335,1,0.0,24,0.5454545454545454,20,0,0,0.14285714285714285,0,765,0.0,0.6499999999999999,0.0
saxpy,64xf32,linalg,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
ddot,128xf64,baseline,956,1745,1742,2.9767441860465116,1.0,128,129,384,0.13493723849372385,0.3333333333333333,387,257,257,0.40481171548117156,0,1,1.0,1.0,1,0.0,387,0.4262114537444934,521,0,0,0.5449790794979079,0,790,0.0,0.9497907949790795,0.0
ddot,128xf64,snrt,577,1363,1360,2.9767441860465116,1.0,128,129,384,0.22357019064124783,0.9699248120300752,133,1,1,0.23050259965337955,0,1,19.0,19.0,1,0.0,7,0.35,13,0,0,0.022530329289428077,0,787,0.0,0.2530329289428076,0.0
ddot,128xf64,snitch_stream,206,975,972,2.9191176470588234,0.0,128,136,397,0.6601941747572816,0.9784172661870504,139,0,0,0.6747572815533981,0,1,8.6875,8.6875,1,0.0,16,0.48484848484848486,17,0,0,0.0825242718446602,0,770,0.0,0.7572815533980582,0.0
ddot,128xf64,linalg,965,1751,1748,2.9615384615384617,1.0,128,130,385,0.13471502590673576,0.3359173126614987,387,256,256,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
ddot,128xf64,riscv_scf,1211,2018,2015,2.9883268482490273,1.490272373540856,0,257,768,0.21222130470685385,0.49902912621359224,515,383,257,0.42526837324525185,0,1,1.0,1.0,1,0.0,515,0.4956689124157844,524,0,0,0.43270024772914945,0,808,0.0,0.8579686209744013,0.0
ddot,128xf64,scf,965,1751,1748,2.9767441860465116,1.0,128,129,384,0.13367875647668392,0.3333333333333333,387,257,257,0.40103626943005183,0,1,1.0,1.0,1,0.0,387,0.42574257425742573,522,0,0,0.5409326424870466,0,787,0.0,0.9419689119170984,0.0
dense,8x8xf64,baseline,3206,4011,4008,2.792834890965732,1.1077844311377245,448,642,1793,0.20024953212726138,0.41259640102827766,1556,740,668,0.48533998752339363,0,246,1.0,1.0,1,0.0,1556,0.9511002444987775,80,0,0,0.024953212726138492,0,806,0.0,0.5102932002495322,0.0
dense,8x8xf64,snrt,2723,3538,3535,2.630311614730878,0.0,512,706,1857,0.2592728608152773,0.9145077720207254,772,0,0,0.28351083363936835,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.7713717693836978,115,0,0,0.04223283143591627,0,816,0.0,0.3257436650752846,0.0
dense,8x8xf64,snitch_stream,2731,3518,3515,2.630311614730878,0.0,512,706,1857,0.25851336506774075,0.9145077720207254,772,0,0,0.2826803368729403,0,64,1.9896907216494844,1.9896907216494846,1,0.0,388,0.5631349782293179,301,0,0,0.11021603808128891,0,788,0.0,0.39289637495422924,0.0
dense,8x8xf64,linalg,3530,4331,4328,2.792834890965732,1.1513513513513514,512,642,1793,0.18186968838526912,0.39410681399631675,1629,852,740,0.4614730878186969,0,247,1.0,1.0,1,3.1666666666666665,1629,0.8422957600827301,305,19,6,0.08640226628895184,134,802,0.0,0.5478753541076488,0.0
dense,8x8xf64,fused,2952,3756,3753,2.773497688751926,1.0737410071942446,448,649,1800,0.21985094850948508,0.489811320754717,1325,597,556,0.4488482384823848,0,120,1.0,1.0,1,0.0,1325,0.9601449275362319,55,0,0,0.018631436314363144,0,805,0.0,0.46747967479674796,0.0
matmul,4x4x4xf64,baseline,427,1113,1110,2.953846153846154,1.0,48,65,192,0.1522248243559719,0.5038759689922481,129,48,48,0.30210772833723654,0,16,1.0,1.0,1,0.0,129,0.9485294117647058,7,102,0,0.01639344262295082,0,687,0.0,0.3185011709601874,0.0
matmul,4x4x4xf64,snitch_stream,264,934,931,2.4183673469387754,0.0,64,98,237,0.3712121212121212,0.98,100,0,0,0.3787878787878788,0,0,1.7857142857142858,1.7857142857142858,1,0.0,56,0.49557522123893805,57,98,0,0.2159090909090909,0,671,0.0,0.5946969696969697,0.0
matmul,4x4x8xf64,baseline,514,1198,1195,2.976923076923077,1.7195121951219512,96,130,387,0.2529182879377432,0.4961832061068702,262,141,82,0.5097276264591439,0,50,1.0,1.0,1,0.0,262,0.966789667896679,9,101,0,0.017509727626459144,0,685,0.0,0.5272373540856031,0.0
matmul,4x4x8xf64,snitch_stream,384,1065,1062,2.4381443298969074,0.0,128,194,473,0.5052083333333334,0.9897959183673469,196,0,0,0.5104166666666666,0,0,1.8148148148148149,1.8148148148148149,1,0.0,108,0.6171428571428571,67,101,0,0.17447916666666666,0,682,0.0,0.6848958333333333,0.0
matmul,4x4x12xf64,baseline,1106,1792,1789,2.9844559585492227,1.0192307692307692,144,193,576,0.17450271247739602,0.4298440979955457,449,212,208,0.40596745027124775,0,48,1.0,1.0,1,0.0,449,0.9846491228070176,7,102,0,0.006329113924050633,0,687,0.0,0.41229656419529837,0.0
matmul,4x4x12xf64,snitch_stream,488,1169,1166,2.4448275862068964,0.0,192,290,709,0.5942622950819673,0.9931506849315068,292,0,0,0.5983606557377049,0,0,1.825,1.825,1,0.0,160,0.6808510638297872,75,101,0,0.15368852459016394,0,682,0.0,0.7520491803278688,0.0
matmul,4x4x16xf64,baseline,1468,2154,2151,2.9883268482490273,1.0,192,257,768,0.17506811989100818,0.433389544688027,593,272,272,0.4039509536784741,0,64,1.0,1.0,1,0.0,593,0.6831797235023042,275,107,0,0.18732970027247955,0,687,0.0,0.5912806539509536,0.0
matmul,4x4x16xf64,snitch_stream,597,1278,1275,2.437823834196891,0.0,256,386,941,0.6465661641541038,0.9948453608247423,388,0,0,0.6499162479061976,0,0,1.8301886792452828,1.830188679245283,1,0.0,212,0.7186440677966102,83,106,0,0.1390284757118928,0,682,0.0,0.7889447236180904,0.0
matmul,4x4x20xf64,baseline,1804,2490,2487,2.9906542056074765,1.0,240,321,960,0.1779379157427938,0.4355495251017639,737,336,336,0.40853658536585363,0,80,1.0,1.0,1,0.0,737,0.6849442379182156,339,107,0,0.18791574279379158,0,687,0.0,0.5964523281596452,0.0
